Time,iGlob,tOut,vpOut,co2Out,wind,tSky,tSoOut,dayRadSum,isDay,isDaySmooth,hElevation
Time since start of data,Outdoor global solar radiation,Outdoor temperature,Outdoor vapor pressure,Outdoor CO2 concentration,Outdoor wind speed,Apparent sky temperature,Soil temperature at 2 m depth,Daily sum of outdoor global solar radiation,Switch determining if it is day or night. Used for control purposes,Smooth switch determining if it is day or night. Used for control purposes,Elevation at location
s,W m**-2,°C,Pa,mg m**-3,m s**-1,°C,°C,MJ m**-2,-,-,m above sea level
586800,0.0,5.2,273.7857763221428,809.3120850864397,5.1,-21.32798667055198,2.1384613744763055,9.1764,0.0,0.0,1612.0
590400,0.0,4.2,296.5406972678028,812.2301023393203,2.1,-20.230697010514575,2.13658227740172,9.1764,0.0,0.0,1612.0
594000,0.0,3.6,308.01074085600004,813.9910348105166,4.6,-19.95859408558755,2.134707022119283,9.1764,0.0,0.0,1612.0
597600,0.0,1.6,287.842537275885,819.9163562650062,5.1,-12.423423039347256,2.132835609593961,9.1764,0.0,0.0,1612.0
601200,0.0,1.0,308.5489689046535,821.710811175672,5.7,-14.436906349687433,2.1309680407887424,9.1764,0.0,0.0,1612.0
604800,0.0,1.0,380.7625573717001,821.710811175672,3.6,-20.777552756643928,2.129104316664632,10.4652,0.0,0.0,1612.0
608400,0.0,0.0,311.4978,824.719087987591,1.5,-18.878862105720486,2.1272444381806626,10.4652,0.0,0.0,1612.0
612000,0.0,-2.0,290.24772534791913,830.8022086808427,2.6,-15.204229956164454,2.1253884062938857,10.4652,0.0,0.0,1612.0
615600,0.0,-1.0,283.9548087327437,827.7494722903195,1.5,-23.283491364033864,2.1235362219593705,10.4652,0.0,0.0,1612.0
619200,0.0,-2.0,290.24772534791913,830.8022086808427,0.0,-26.159304028887618,2.1216878861302115,10.4652,0.0,0.0,1612.0
622800,0.0,-3.0,294.0447185206073,833.8775453777919,2.1,-27.338290890450622,2.119843399757519,10.4652,0.0,0.0,1612.0
626400,0.0,-3.0,294.0447185206073,833.8775453777919,3.1,-25.286017468759184,2.118002763790428,10.4652,0.0,0.0,1612.0
630000,0.0,-3.0,269.54099197722337,833.8775453777919,0.0,-27.04195315036381,2.116165979176082,10.4652,0.0,0.0,1612.0
633600,82.0,-2.0,290.24772534791913,830.8022086808427,1.5,-27.338290890450622,2.1143330468596515,10.4652,1.0,1.0,1612.0
637200,227.0,-1.0,329.38757812998267,827.7494722903195,2.6,-26.452468576296866,2.112503967784325,10.4652,1.0,1.0,1612.0
640800,367.0,1.6,356.3764747225243,819.9163562650062,2.1,-25.286017468759184,2.1106787428913005,10.4652,1.0,1.0,1612.0
644400,461.0,3.2,353.20072732786554,815.1692378643403,2.6,-24.13580568686018,2.1088573731197986,10.4652,1.0,1.0,1612.0
648000,500.0,4.7,366.7879764326431,810.7684681799909,3.1,-23.283491364033864,2.107039859407058,10.4652,1.0,1.0,1612.0
651600,478.0,5.5,369.7131027146034,808.4407639828117,4.1,-23.00131529769797,2.105226202688325,10.4652,1.0,1.0,1612.0
